timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ,timestamp_reset
235183,0.25,0.15,11.72,-0.01,0.02,0.02,0
235275,0.25,0.13,11.72,-0.01,0.02,0.02,92
235375,0.26,0.15,11.73,-0.01,0.02,0.02,192
235475,0.26,0.14,11.7,-0.01,0.02,0.02,292
235575,0.25,0.12,11.73,-0.01,0.02,0.01,392
235675,0.24,0.12,11.73,-0.01,0.02,0.02,492
235775,0.27,0.14,11.72,-0.01,0.02,0.02,592
236051,0.26,0.15,11.71,-0.01,0.02,0.02,868
236150,0.28,-1.08,11.65,-0.02,0.05,0.03,967
236250,0.94,-0.74,10.23,-0.07,-0.03,0.11,1067
236350,0.58,-0.37,10.69,0.04,0.04,0.04,1167
236450,0.31,1.3,13.13,-0.1,-0.01,0.05,1267
236550,0.65,3.53,13.2,-0.09,0.02,0.09,1367
236650,-0.1,1.18,12.14,-0.31,0.01,-0.0,1467
236750,-0.09,-3.09,11.08,-0.2,-0.03,0.13,1567
236850,1.92,0.02,11.24,0.36,-0.09,0.12,1667
236950,2.44,3.17,10.07,-0.02,0.13,0.02,1767
237050,-1.29,-2.4,11.13,-0.0,-0.07,0.05,1867
237150,2.14,1.54,10.68,0.03,0.1,0.04,1967
237250,-1.01,-1.95,10.97,-0.06,-0.06,0.09,2067
237548,-0.79,-0.78,10.04,-0.55,0.67,-0.27,2365
237815,0.11,0.3,12.1,-0.01,0.03,0.03,2632
237914,0.46,-2.08,11.01,0.05,0.09,0.1,2731
238014,0.3,-1.36,10.79,-0.01,0.04,-0.01,2831
238114,1.18,-1.55,10.3,0.31,0.09,0.07,2931
238214,-1.21,0.96,14.87,-0.08,0.22,0.15,3031
238314,0.22,4.08,10.59,-0.02,1.2,-0.35,3131
238414,2.78,3.06,14.25,0.23,-0.29,0.21,3231
238514,0.9,1.02,10.44,0.05,-0.05,0.04,3331
238614,2.24,2.02,6.25,-1.01,-0.58,-0.28,3431
238904,-5.63,0.5,15.69,0.1,0.19,0.1,3721
239003,1.36,0.88,11.12,0.09,0.04,0.1,3820
239103,0.45,0.82,11.72,0.01,0.04,0.04,3920
239203,0.28,0.99,11.54,-0.01,0.02,0.02,4020
239303,0.3,-0.06,11.54,-0.01,0.02,0.02,4120
239403,0.3,0.16,11.71,-0.01,0.02,0.01,4220
239503,0.29,0.13,11.72,-0.01,0.02,0.02,4320
239603,0.26,0.1,11.73,-0.01,0.02,0.02,4420
239703,0.28,0.1,11.73,-0.01,0.02,0.02,4520
239803,0.31,0.13,11.68,-0.01,0.02,0.02,4620
239903,0.28,0.11,11.73,-0.01,0.02,0.02,4720
240003,0.26,0.1,11.68,-0.01,0.02,0.01,4820
240103,0.26,0.1,11.72,-0.01,0.02,0.01,4920
240203,0.3,0.13,11.76,-0.01,0.02,0.01,5020
240303,0.29,0.11,11.68,-0.01,0.02,0.01,5120
