timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ,timestamp_reset
192086,0.29,0.09,11.73,-0.01,0.02,0.01,0
192183,0.27,0.09,11.71,-0.01,0.02,0.02,97
192283,0.25,0.1,11.71,-0.01,0.02,0.02,197
192383,0.25,0.1,11.69,-0.01,0.02,0.02,297
192483,0.27,0.1,11.72,-0.01,0.02,0.01,397
192583,0.29,0.1,11.72,-0.01,0.02,0.01,497
192829,0.28,0.09,11.7,-0.01,0.02,0.02,743
192928,-0.02,-0.75,11.49,0.01,0.05,0.04,842
193028,0.09,-0.24,10.44,0.03,0.05,0.1,942
193128,-0.14,0.42,10.74,0.11,0.0,0.11,1042
193228,-0.65,-1.48,12.25,-0.03,0.1,-0.0,1142
193328,1.11,-1.54,11.14,-0.12,0.08,0.02,1242
193428,-0.7,-1.95,11.95,-0.02,0.04,0.06,1342
193528,-0.64,-2.49,10.91,-0.02,-0.06,0.11,1442
193628,0.35,-0.46,11.21,0.27,0.04,0.06,1542
193728,1.16,2.2,12.48,-0.25,0.01,0.1,1642
193828,-1.39,-0.05,8.15,-0.58,0.6,-0.17,1742
193928,0.23,-2.36,9.82,-0.16,-0.04,0.1,1842
194028,0.01,-4.32,11.81,-0.14,-0.09,0.07,1942
194128,-6.66,19.65,35.08,-0.32,0.43,0.3,2042
194228,1.49,-1.19,11.39,-0.04,0.04,0.09,2142
194328,-1.76,-2.14,13.85,0.62,0.04,0.14,2242
194428,-0.66,1.53,12.45,0.12,-0.07,0.13,2342
194528,-0.18,2.23,9.35,-1.21,-0.33,0.01,2442
194628,-1.31,0.34,12.25,-0.17,0.14,0.12,2542
194728,-3.56,-3.0,13.02,-0.08,-0.25,0.15,2642
194828,2.81,-0.29,10.6,0.02,0.27,0.12,2742
195139,2.09,-3.22,12.03,0.13,0.06,0.14,3053
195239,-0.56,-0.04,15.44,-0.08,0.09,0.1,3153
195339,-0.48,1.01,12.23,-0.07,0.02,0.0,3253
195439,0.14,0.61,11.73,-0.01,0.03,0.01,3353
195539,0.22,-0.13,11.69,-0.01,0.02,0.02,3453
195639,0.29,0.03,11.73,-0.01,0.02,0.01,3553
195739,0.26,0.07,11.72,-0.01,0.02,0.02,3653
195839,0.24,0.07,11.71,-0.01,0.02,0.02,3753
195939,0.26,0.07,11.73,-0.01,0.02,0.01,3853
196039,0.27,0.06,11.74,-0.01,0.02,0.02,3953
196139,0.28,0.06,11.73,-0.01,0.02,0.02,4053
