timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ,timestamp_reset
155470,0.3,0.12,11.71,-0.01,0.02,0.02,0
155538,0.29,0.15,11.72,-0.01,0.02,0.01,68
155638,0.33,0.13,11.71,-0.01,0.02,0.02,168
155738,0.32,0.16,11.73,-0.01,0.02,0.02,268
155838,0.32,0.14,11.71,-0.01,0.02,0.02,368
155938,0.31,0.13,11.74,-0.01,0.02,0.02,468
156038,0.31,0.15,11.74,-0.01,0.02,0.01,568
156138,0.32,0.16,11.74,-0.01,0.02,0.02,668
156238,0.34,0.15,11.74,-0.01,0.02,0.01,768
156338,0.32,0.14,11.71,-0.01,0.02,0.02,868
156438,0.3,0.15,11.73,-0.01,0.02,0.02,968
156538,0.31,0.13,11.72,-0.01,0.02,0.02,1068
156638,0.33,0.14,11.71,-0.01,0.02,0.02,1168
156738,0.33,0.14,11.69,-0.01,0.02,0.02,1268
156838,0.32,0.14,11.71,-0.01,0.02,0.02,1368
157084,0.33,0.15,11.73,-0.01,0.02,0.02,1614
157183,0.53,-0.7,11.18,0.04,-0.03,0.06,1713
157283,-0.52,0.14,12.6,-0.08,-0.1,0.01,1813
157383,0.53,1.79,13.08,-0.09,-0.01,0.05,1913
157483,0.19,-0.76,10.26,-0.0,0.01,0.04,2013
157583,-1.45,-2.75,11.31,-0.05,0.15,0.06,2113
157683,0.4,-3.23,10.05,-0.09,0.03,0.07,2213
157783,0.34,-3.33,9.96,0.08,0.07,0.08,2313
157883,0.76,2.5,12.13,0.27,0.0,0.04,2413
157983,-0.68,3.23,14.02,-0.19,0.02,0.04,2513
158083,1.54,-3.69,10.17,-0.01,0.06,0.05,2613
158183,1.48,2.76,13.74,0.3,0.03,0.05,2713
158283,-0.54,-0.44,12.66,-0.14,-0.02,0.08,2813
158383,2.06,-0.21,10.85,0.03,0.02,0.02,2913
158483,0.13,-1.07,11.57,-0.09,0.22,0.06,3013
158583,-3.43,-1.37,14.35,-0.78,0.97,0.12,3113
158683,-2.42,-0.23,8.76,-0.22,0.04,-0.07,3213
158783,-0.06,-0.69,11.83,-0.07,-0.05,0.12,3313
158883,1.59,-4.73,9.4,1.25,0.25,-0.04,3413
158983,-1.36,0.61,10.34,-0.35,0.09,0.13,3513
159083,-2.9,1.82,5.13,1.05,-0.72,0.16,3613
159183,2.25,5.43,12.11,-0.02,-0.03,0.11,3713
159283,1.24,2.59,10.15,-0.22,-0.34,0.18,3813
159383,0.96,5.15,3.24,0.27,0.42,-0.02,3913
159483,-3.06,3.76,13.92,-0.09,0.0,0.12,4013
159583,4.26,-2.23,10.62,-0.12,-0.03,0.13,4113
159683,-1.26,0.27,11.91,0.17,0.01,0.08,4213
159927,1.35,-0.39,10.54,0.2,-0.13,0.13,4457
160026,-0.7,2.04,13.08,-0.02,-0.0,0.08,4556
160126,-0.66,0.78,11.84,-0.05,-0.02,0.02,4656
160226,0.26,1.03,11.44,-0.01,0.04,0.03,4756
160326,0.2,-0.21,11.5,-0.01,0.02,0.02,4856
160426,0.26,0.06,11.72,-0.01,0.02,0.02,4956
160526,0.27,0.09,11.74,-0.01,0.02,0.02,5056
160626,0.31,0.11,11.72,-0.01,0.02,0.02,5156
160726,0.31,0.07,11.72,-0.01,0.02,0.01,5256
160826,0.28,0.06,11.71,-0.01,0.02,0.02,5356
