timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ,timestamp_reset
68751,0.12,0.11,11.65,-0.01,0.02,0.02,0
68848,0.1,0.1,11.63,-0.01,0.02,0.02,97
68948,0.1,0.08,11.63,-0.01,0.02,0.02,197
69048,0.12,0.11,11.65,-0.01,0.02,0.02,297
69148,0.12,0.11,11.64,-0.01,0.02,0.02,397
69248,0.13,0.11,11.64,-0.01,0.02,0.02,497
69348,0.1,0.11,11.64,-0.01,0.02,0.02,597
69448,0.08,0.09,11.65,-0.01,0.02,0.02,697
69548,0.1,0.11,11.63,-0.01,0.02,0.02,797
69648,0.12,0.11,11.61,-0.01,0.02,0.02,897
69748,0.13,0.12,11.64,-0.01,0.02,0.02,997
69848,0.11,0.12,11.65,-0.01,0.02,0.02,1097
69948,0.09,0.11,11.65,-0.01,0.02,0.01,1197
70048,0.11,0.09,11.63,-0.01,0.02,0.01,1297
70148,0.11,0.1,11.65,-0.01,0.02,0.02,1397
70248,0.13,0.12,11.65,-0.01,0.02,0.01,1497
70348,0.11,0.1,11.66,-0.01,0.02,0.02,1597
70448,0.1,0.11,11.66,-0.01,0.02,0.02,1697
70548,0.1,0.11,11.65,-0.01,0.02,0.02,1797
70648,0.13,0.11,11.64,-0.01,0.02,0.02,1897
70748,0.12,0.11,11.66,-0.01,0.02,0.02,1997
70848,0.11,0.1,11.62,-0.01,0.02,0.02,2097
70948,0.09,0.1,11.64,-0.01,0.02,0.02,2197
71048,0.11,0.1,11.67,-0.01,0.02,0.02,2297
71148,0.14,0.12,11.65,-0.01,0.02,0.01,2397
71248,0.12,0.11,11.64,-0.01,0.02,0.02,2497
71348,0.11,0.09,11.65,-0.01,0.02,0.02,2597
71448,0.1,0.1,11.65,-0.01,0.02,0.01,2697
71548,0.12,0.1,11.66,-0.01,0.02,0.02,2797
71648,0.13,0.11,11.64,-0.01,0.02,0.02,2897
71748,0.11,0.09,11.65,-0.01,0.02,0.02,2997
71848,0.09,0.11,11.65,-0.01,0.02,0.01,3097
71948,0.08,0.1,11.62,-0.01,0.02,0.02,3197
72048,0.11,0.12,11.64,-0.01,0.02,0.02,3297
72148,0.14,0.09,11.65,-0.01,0.02,0.02,3397
72248,0.13,0.1,11.62,-0.01,0.02,0.02,3497
72348,0.08,0.08,11.67,-0.01,0.02,0.02,3597
72448,0.1,0.12,11.63,-0.01,0.02,0.02,3697
72548,0.11,0.12,11.64,-0.01,0.02,0.02,3797
72648,0.14,0.11,11.67,-0.01,0.02,0.02,3897
72748,0.12,0.11,11.65,-0.01,0.02,0.02,3997
72848,0.09,0.09,11.63,-0.01,0.02,0.02,4097
72948,0.09,0.11,11.62,-0.01,0.02,0.02,4197
73188,0.1,0.11,11.64,-0.01,0.02,0.02,4437
73287,1.29,-2.54,10.62,0.12,0.02,-0.01,4536
73387,-0.04,4.41,10.7,-0.09,0.01,-0.04,4636
73487,-0.3,-3.41,11.17,-0.01,-0.0,-0.02,4736
73587,0.5,0.38,11.99,-0.0,-0.03,0.07,4836
73687,3.33,1.6,11.4,-0.14,0.03,0.0,4936
73787,5.83,-12.26,4.13,-1.29,0.9,-0.45,5036
73887,4.41,-5.47,3.22,1.86,-0.76,0.12,5136
73987,6.28,2.54,-0.28,2.0,0.57,1.19,5236
74087,-1.51,-0.49,0.64,-0.28,-0.07,0.38,5336
74187,5.18,5.56,21.87,0.01,-0.54,-0.06,5436
74287,-0.25,0.12,10.69,-0.25,-0.05,-0.03,5536
74387,0.98,-4.1,10.29,-0.16,0.15,-0.04,5636
74487,0.81,1.41,11.91,0.17,0.03,-0.09,5736
74587,-0.15,-2.52,3.79,0.37,-0.33,-0.3,5836
74687,7.32,3.29,8.34,-0.51,0.07,-0.01,5936
74787,5.72,-0.09,10.46,-0.05,-0.28,0.41,6036
74887,2.48,-4.01,9.55,-0.01,-0.08,-0.19,6136
74987,2.42,-4.69,3.9,0.43,0.43,-0.28,6236
75087,-0.06,2.41,11.75,-0.18,0.12,0.06,6336
75187,2.6,2.46,1.11,-0.27,0.85,0.11,6436
75287,-2.2,-3.22,21.47,-3.21,-0.33,0.12,6536
75387,0.32,-8.36,7.85,2.06,0.35,0.15,6636
75487,-16.92,8.89,38.02,2.86,-0.38,-0.27,6736
75587,-2.21,2.16,5.55,-0.86,0.14,0.1,6836
75687,6.45,-7.94,14.82,-0.55,-0.48,0.04,6936
75787,2.77,-2.27,10.42,0.23,0.1,-0.0,7036
75887,0.34,-3.13,9.17,-0.13,0.14,0.04,7136
75987,-0.02,3.84,2.93,-0.1,0.43,-0.5,7236
76087,-10.44,5.18,13.98,0.36,0.07,-0.03,7336
76187,1.66,-1.76,1.41,-0.2,0.07,0.28,7436
76287,2.96,1.7,12.02,-0.07,-0.01,-0.08,7536
76550,-2.92,0.27,11.24,0.11,0.02,-0.1,7799
76649,1.43,3.93,9.68,0.0,0.2,-0.04,7898
76749,3.19,2.83,8.31,-0.0,-0.14,-0.01,7998
76849,1.37,3.03,10.02,-0.1,0.05,-0.01,8098
76949,0.18,0.85,11.33,-0.04,-0.03,0.01,8198
77049,-0.17,1.33,11.92,0.01,0.02,-0.03,8298
77149,0.09,-0.08,11.61,-0.01,0.02,0.01,8398
77249,0.06,0.04,11.65,-0.01,0.02,0.02,8498
77349,0.07,0.0,11.62,-0.01,0.02,0.02,8598
77449,0.08,0.04,11.65,-0.01,0.02,0.02,8698
77549,0.09,0.05,11.61,-0.01,0.02,0.02,8798
77649,0.07,0.04,11.63,-0.01,0.02,0.02,8898
77749,0.04,0.03,11.64,-0.01,0.02,0.02,8998
77849,0.07,0.03,11.65,-0.01,0.02,0.02,9098
77949,0.1,0.02,11.63,-0.01,0.02,0.02,9198
78049,0.06,0.03,11.66,-0.01,0.02,0.01,9298
78149,0.05,0.01,11.67,-0.01,0.02,0.02,9398
78249,0.08,0.04,11.64,-0.01,0.02,0.02,9498
