timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ,timestamp_reset
192428,10.76,11.29,12.98,0.81,-0.8,1.06,0
192525,10.75,11.3,12.95,0.86,-0.79,1.06,97
192625,10.82,11.3,12.96,0.79,-0.79,1.07,197
192725,10.83,11.27,12.87,0.87,-0.8,1.09,297
192825,10.81,11.31,12.92,0.82,-0.8,1.06,397
192925,10.86,11.36,12.85,0.8,-0.78,1.08,497
193025,10.85,11.36,12.94,0.85,-0.81,1.09,597
193125,10.87,11.31,12.92,0.84,-0.78,1.1,697
193225,10.86,11.34,13.02,0.79,-0.79,1.08,797
193739,22.39,12.62,13.68,1.07,0.33,1.29,1311
193836,8.22,12.16,9.39,0.65,-0.14,0.72,1408
193936,1.15,9.33,14.11,0.73,-1.74,1.58,1508
194036,8.87,40.58,13.86,-2.76,-1.99,2.15,1608
194136,15.34,-0.51,4.09,2.26,-1.08,0.27,1708
194236,2.33,8.49,5.18,0.88,0.14,0.41,1808
194336,-1.74,20.58,-10.77,-0.35,-0.59,2.08,1908
194436,7.53,18.22,4.43,-1.63,0.04,1.55,2008
194536,31.72,15.56,20.94,0.39,-0.49,2.23,2108
194636,5.81,6.83,17.68,1.17,-1.44,1.25,2208
194736,-11.77,-0.6,14.11,0.84,-0.99,1.8,2308
194836,23.94,-14.86,17.47,-0.63,-0.36,2.02,2408
194936,-46.85,111.4,135.04,-2.72,-1.14,0.66,2508
195036,-9.76,11.06,45.91,2.78,-3.3,2.09,2608
195136,-21.05,24.56,74.18,2.33,-1.24,2.73,2708
195236,-0.39,-0.27,15.2,0.53,-1.8,1.26,2808
195336,-0.49,16.79,-3.55,1.68,-1.81,1.2,2908
195436,24.76,19.01,3.56,0.56,-0.58,0.76,3008
195536,14.95,5.97,2.01,1.03,-0.13,1.0,3108
195636,-11.65,-0.19,14.58,0.46,-0.46,1.09,3208
195736,23.47,-20.92,45.83,2.48,-1.78,0.35,3308
195836,4.36,7.35,7.95,0.61,-0.08,1.5,3408
195936,-18.78,63.05,44.96,1.19,-2.42,0.28,3508
196036,-7.52,14.06,2.83,0.27,-0.8,1.68,3608
196136,5.56,-2.96,4.71,1.07,-0.95,1.55,3708
196236,23.87,14.39,9.17,0.41,-1.99,1.1,3808
196336,-27.52,9.96,68.47,-0.41,-0.74,-0.63,3908
196436,4.87,15.54,10.93,0.82,-1.45,0.56,4008
196702,0.4,29.94,21.84,0.72,-0.64,0.24,4274
196801,8.91,17.76,3.28,1.05,-0.37,1.35,4373
196901,9.4,12.94,10.79,0.92,-0.86,0.79,4473
197001,9.79,11.15,16.43,0.87,-0.91,1.21,4573
197101,11.17,11.4,12.66,0.91,-0.74,1.03,4673
197201,10.52,11.45,13.72,0.87,-0.8,1.07,4773
197301,10.66,11.35,13.01,0.8,-0.77,1.09,4873
197401,10.83,11.2,12.91,0.81,-0.8,1.07,4973
197501,10.85,11.24,12.86,0.81,-0.81,1.1,5073
197601,10.88,11.24,12.89,0.87,-0.79,1.08,5173
197701,10.88,11.27,12.91,0.82,-0.77,1.06,5273
197801,10.83,11.31,12.91,0.82,-0.81,1.1,5373
197901,10.83,11.25,12.96,0.87,-0.77,1.1,5473
198001,10.92,11.3,12.93,0.82,-0.78,1.11,5573
