timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
2, -0.37, 0.12, 11.57, -0.01, 0.02, 0.02
244, -0.38, 0.11, 11.57, -0.01, 0.02, 0.02
249, -0.36, 0.13, 11.57, -0.01, 0.02, 0.02
348, -1.34, -2.28, 10.51, 0.11, -0.05, 0.03
448, -1.71, -2.82, 10.41, 0.07, -0.09, 0.01
548, -1.60, -0.83, 11.64, 0.06, -0.09, 0.06
648, -0.85, 0.20, 11.87, 0.07, 0.10, 0.05
748, 0.05, 0.38, 10.65, 0.02, 0.01, 0.07
848, -3.30, -0.24, 11.54, -0.04, 0.00, 0.04
948, -0.48, -4.26, 6.64, -0.32, 0.25, 0.53
1048, 1.30, 2.31, 5.83, -0.02, 0.02, 0.11
1148, 2.04, 1.97, 1.27, 1.46, -1.07, 0.07
1248, 2.89, -2.81, 10.11, 0.19, 0.06, 0.12
1509, -1.30, -1.60, 11.38, 0.02, 0.04, 0.07
1608, 0.19, 5.80, 11.95, 0.01, 0.05, 0.04
1708, -2.49, 1.87, 12.39, 0.03, -0.03, 0.09
