timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
7, -0.43, 0.12, 11.58, -0.01, 0.02, 0.02
246, -0.42, 0.11, 11.56, -0.01, 0.02, 0.02
345, -0.84, -2.09, 11.66, 0.00, 0.06, 0.02
445, -1.17, 2.23, 11.57, 0.18, -0.05, 0.05
545, 1.18, -2.44, 11.27, 0.10, 0.02, 0.03
645, -0.73, -2.09, 11.36, 0.09, -0.01, -0.01
745, -0.70, -0.93, 10.79, -0.10, -0.03, -0.00
845, 0.08, -3.64, 10.22, 0.02, -0.14, 0.07
945, 3.18, -5.47, 4.22, -1.40, -0.23, 0.20
1045, 2.48, 12.66, 0.52, 0.78, 0.04, 0.30
1145, 2.27, 1.58, 4.30, 1.62, -0.67, 0.22
1401, -2.53, 3.73, 14.04, 0.11, -0.05, 0.05
1500, -1.46, 3.34, 10.85, -0.21, 0.02, 0.10
1600, -1.82, 3.58, 13.34, -0.08, 0.12, 0.08
1700, 0.49, 1.64, 11.37, 0.08, -0.02, -0.00
1800, -0.77, 1.14, 11.55, -0.03, -0.00, 0.05
1900, -0.28, 0.12, 11.40, -0.01, 0.03, 0.03
2000, -0.43, 0.28, 11.62, -0.01, 0.02, 0.02
2100, -0.41, 0.10, 11.56, -0.01, 0.02, 0.02
2200, -0.40, 0.11, 11.55, -0.01, 0.02, 0.02
2300, -0.40, 0.10, 11.55, -0.01, 0.02, 0.02
