timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
64, -0.36, 0.11, 11.58, -0.01, 0.02, 0.02
131, -0.36, 0.11, 11.58, -0.01, 0.02, 0.02
231, -0.38, 0.13, 11.53, -0.01, 0.02, 0.02
331, -0.40, 0.12, 11.54, -0.01, 0.02, 0.02
431, -0.35, 0.13, 11.54, -0.01, 0.02, 0.02
675, -0.37, 0.13, 11.58, -0.01, 0.02, 0.02
774, -0.18, -3.07, 10.87, 0.04, -0.01, 0.05
874, 5.38, -0.90, 9.98, 0.18, -0.10, 0.14
974, 1.30, -1.64, 10.74, -0.05, 0.04, 0.03
1074, 0.09, 0.48, 10.75, -0.03, -0.01, 0.05
1174, 3.19, 4.78, 7.90, -0.26, 0.16, 0.31
1274, -7.38, -2.08, 11.72, 1.83, -0.82, 0.45
1374, -14.13, -6.16, 23.50, 0.70, -0.16, 0.77
1474, -4.41, 2.32, 7.44, -1.10, 0.54, 0.05
1574, 0.28, 4.06, 11.42, -0.14, -0.06, 0.14
1674, 1.51, 1.36, 12.55, 0.07, 0.06, 0.11
1774, 2.80, 1.09, 12.21, 0.15, -0.02, 0.18
2035, 0.06, 7.95, 14.61, -0.37, -0.09, 0.14
2134, -1.51, 2.79, 9.33, 0.17, 0.06, 0.12
2234, -0.84, 1.28, 11.07, 0.04, 0.02, 0.07
2334, 0.20, 1.99, 8.83, 0.00, 0.01, 0.04
2434, -0.59, 0.57, 12.49, -0.01, 0.03, 0.04
