timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
68, 0.14, 0.14, 11.58, -0.01, 0.02, 0.02
131, 0.16, 0.15, 11.59, -0.01, 0.02, 0.02
231, 0.13, 0.14, 11.60, -0.01, 0.02, 0.02
486, 0.14, 0.15, 11.61, -0.01, 0.02, 0.02
585, -0.55, -0.75, 11.02, -0.03, -0.05, 0.06
685, -1.93, -0.82, 12.32, -0.04, -0.16, 0.06
785, 3.39, 0.23, 10.96, 0.05, 0.06, 0.04
885, -2.18, -0.29, 10.98, 0.06, 0.10, -0.01
985, 2.44, -1.50, 10.63, -0.02, 0.26, 0.01
1085, 0.99, 0.01, 11.49, -0.02, 0.21, 0.02
1185, 0.59, -0.96, 11.57, -0.05, 0.17, 0.04
1285, -1.81, -0.39, 9.78, 0.07, 0.01, 0.06
1385, 0.77, 0.95, 12.78, -0.04, -0.20, 0.05
1485, 2.73, -0.33, 11.38, -0.02, 0.08, 0.02
1585, -1.99, 0.21, 9.63, 0.04, 0.00, 0.06
1685, -0.89, 0.14, 13.72, -0.06, 0.05, 0.04
1785, -1.08, -1.67, 12.29, -0.02, -0.10, 0.10
1885, 3.69, 3.57, 11.45, 0.18, 0.22, 0.03
1985, -3.20, -3.70, 8.69, -0.36, 0.22, 0.08
2085, 2.74, 0.31, 11.42, -0.09, 0.17, 0.01
2186, 0.50, -2.82, 7.79, 1.64, 0.07, 0.11
2285, 1.58, 0.39, 11.34, -0.26, 0.05, 0.04
2385, -2.53, 3.66, 8.98, 0.69, 0.63, 0.42
2485, 0.67, -0.86, 12.28, -0.00, 0.19, -0.02
2585, 2.86, 1.80, 8.52, -0.63, 0.16, 0.03
2685, 1.82, 0.83, 13.63, 0.42, 0.10, 0.00
2785, 0.56, 1.40, 11.03, -0.28, -0.05, 0.05
2885, 0.69, -2.81, 12.90, 0.01, 0.13, -0.00
2985, -2.24, 2.23, 10.67, 0.09, -0.07, 0.03
3085, 1.66, -4.29, 11.52, 0.02, 0.03, 0.01
3185, -2.75, 4.72, 11.77, -0.05, -0.02, 0.02
3285, 2.39, -2.63, 11.92, 0.06, 0.01, 0.02
3385, 1.21, 4.12, 10.91, 0.04, 0.01, 0.05
3635, 1.05, -3.16, 11.06, -0.34, 0.02, 0.01
3734, -0.17, 0.75, 12.61, -0.17, 0.03, 0.06
3834, -0.01, 1.39, 11.14, 0.04, 0.02, 0.00
