timestamp, accX, accY, accZ, gyroX, gyroY, gyroZ
81870, 0.33, 0.12, 11.65, -0.01, 0.02, 0.02
81967, 0.34, 0.14, 11.66, -0.01, 0.02, 0.02
82067, 0.35, 0.15, 11.66, -0.01, 0.02, 0.02
82167, 0.36, 0.17, 11.66, -0.01, 0.02, 0.02
82267, 0.35, 0.17, 11.67, -0.01, 0.02, 0.01
82367, 0.34, 0.15, 11.65, -0.01, 0.02, 0.02
82467, 0.34, 0.14, 11.65, -0.01, 0.02, 0.02
82567, 0.34, 0.16, 11.66, -0.01, 0.02, 0.02
82667, 0.37, 0.16, 11.65, -0.01, 0.02, 0.02
82767, 0.36, 0.17, 11.68, -0.01, 0.02, 0.02
82867, 0.35, 0.15, 11.65, -0.01, 0.02, 0.02
82967, 0.33, 0.15, 11.64, -0.01, 0.02, 0.02
83225, 0.33, 0.14, 11.67, -0.01, 0.02, 0.02
83324, -1.66, -1.72, 14.20, 0.11, 0.01, 0.10
83424, -1.61, -2.02, 11.70, 0.19, 0.00, 0.14
83524, -0.12, -2.55, 11.03, -0.22, -0.00, 0.12
83624, 1.83, 2.91, 12.84, -0.01, 0.01, 0.10
83724, -3.64, -1.85, 11.99, -0.11, 0.09, 0.10
83824, -1.34, 0.46, 11.74, 0.03, 0.10, 0.14
83924, -1.07, -0.74, 11.77, 0.13, -0.01, 0.12
84024, -1.92, 0.94, 12.02, -0.22, 0.06, 0.16
84282, 3.90, 0.88, 11.09, -0.14, 0.21, 0.19
84381, 1.27, 0.10, 10.00, 0.10, 0.11, 0.12
84481, 1.82, 3.02, 11.22, -0.20, 0.04, 0.13
84775, 0.39, 0.87, 11.21, 0.00, 0.02, 0.00
84874, -0.91, -2.53, 13.32, -0.00, 0.05, 0.05
84974, 0.08, -0.53, 12.35, -0.01, 0.15, 0.09
85074, 1.44, 0.43, 12.70, 0.07, -0.07, 0.07
85174, 0.52, -1.27, 10.87, 0.12, 0.09, 0.10
85425, -2.18, -1.07, 11.90, -0.02, -0.08, 0.14
86132, 0.37, -0.16, 11.62, -0.01, 0.02, 0.01
86231, -0.38, -2.59, 9.96, 0.07, -0.07, -0.02
86331, 1.74, -0.89, 11.31, -0.22, -0.19, 0.07
86431, -1.19, -2.49, 13.33, -0.03, 0.08, 0.10
86531, 2.76, 0.49, 10.30, -0.06, 0.09, 0.05
86827, -1.05, 0.25, 10.73, -0.02, 0.01, 0.12
86926, -0.37, 4.53, 10.03, 0.17, 0.01, 0.03
87026, -1.92, 4.77, 15.69, -0.81, 0.81, 0.17
87126, 0.78, 0.31, 11.37, -0.45, -0.39, -0.05
87383, -0.10, -0.26, 11.82, 0.01, 0.05, 0.02
87482, 0.57, -3.84, 13.52, -0.09, 0.25, 0.09
87582, 0.82, -1.66, 11.69, -0.07, 0.04, 0.07
87682, 1.58, -4.94, 5.44, 2.44, -0.06, -0.00
87782, 10.43, -7.80, 17.20, 1.16, 1.29, -0.76
87882, 1.84, -1.55, 9.91, -0.27, 0.24, 0.49
88127, -2.72, 1.87, 12.91, -0.07, -0.13, 0.14
88226, -0.38, 1.87, 10.41, 0.02, 0.03, 0.21
88326, 2.86, 3.93, 13.23, 0.08, 0.01, 0.11
88426, -0.38, 1.14, 11.55, -0.10, 0.04, 0.06
88670, 0.20, -0.28, 11.75, -0.01, 0.02, 0.02
88769, -1.10, -3.00, 9.43, -0.05, -0.07, -0.02
88869, -4.46, 1.52, 14.16, 0.17, -0.13, 0.05
88969, -1.02, -4.18, 11.46, 0.03, -0.06, 0.03
89069, 0.63, -0.60, 11.19, -0.13, 0.07, 0.14
89169, 3.15, 1.23, 10.93, 0.14, -0.17, 0.10
89269, 3.07, 1.23, 11.85, -0.09, 0.07, 0.14
89758, 0.50, 2.81, 11.17, -0.10, 0.10, 0.10
91157, 0.43, 0.84, 11.66, 0.01, -0.02, 0.01
91398, -2.29, -2.07, 12.21, -0.11, -0.12, 0.17
91497, 1.13, 0.73, 11.66, 0.01, -0.00, 0.09
91597, 0.52, 2.82, 9.49, 0.07, 0.04, 0.07
92074, 3.43, -1.90, 9.46, -0.01, -0.02, 0.15
92388, -0.29, 0.97, 11.48, -0.02, 0.04, 0.04
92877, 0.27, 0.08, 11.71, -0.01, 0.02, 0.01
93360, 0.31, -0.08, 11.62, -0.01, 0.02, 0.02
93850, 0.37, 0.13, 11.59, -0.01, 0.02, 0.02
93949, 0.96, -0.32, 10.17, -0.18, -0.12, 0.92
94206, 4.95, -2.34, 4.96, -0.12, -0.31, 1.73
94305, 1.15, 1.05, 6.57, 0.14, -0.06, 0.36
94554, 0.27, 0.01, 11.67, -0.01, 0.02, 0.02
94653, -0.62, -2.40, 12.01, -0.05, 0.06, 0.09
94753, -0.93, -1.09, 12.36, -0.23, -0.03, 0.05
95022, -0.46, 2.43, 1.29, -1.31, 0.44, -0.22
95122, -2.83, 0.14, 14.80, 1.32, 0.59, 0.14
95222, 0.38, 0.55, 13.61, -0.08, 0.02, 0.02
95322, 0.36, 1.19, 10.92, -0.02, 0.01, 0.03
95562, 0.31, -0.08, 11.62, -0.00, 0.02, 0.01
96531, 1.47, 1.19, 11.90, 0.02, 0.08, 0.10
96630, 3.42, -1.69, 7.63, 0.04, 0.29, 0.07
96730, 5.28, -1.40, 11.38, 0.12, -0.01, 0.11
96830, 2.07, -1.46, 11.23, 0.14, 0.11, 0.06
96930, 1.01, -1.70, 10.98, 0.01, 0.08, 0.14
97176, -0.56, 1.15, 12.50, -0.02, -0.02, 0.12
97275, -0.44, 3.73, 11.89, -0.16, 0.20, 0.11
97557, -0.08, 0.88, 11.73, -0.03, 0.00, 0.05
97656, -3.85, 6.42, 9.46, -0.01, 0.04, 1.04
97756, 14.69, -12.01, 7.32, -0.15, -0.34, 1.05
97856, 8.74, -5.83, 11.45, 0.63, 0.87, 1.06
97956, -3.50, 10.03, 12.27, 0.37, 0.63, 1.10
98056, -9.22, 0.56, 21.15, -0.94, -0.51, 1.40
98156, 9.73, -11.92, 8.50, 0.03, -0.58, 1.37
98256, 9.21, -0.09, 5.09, 0.57, 0.58, 1.43
98356, -8.19, 11.55, 14.89, 0.42, 0.87, 1.05
98456, -8.13, 15.07, 17.43, -0.18, 0.52, 1.29
98704, -2.07, 3.89, 9.09, 0.61, 1.02, 1.25
98803, -3.75, -0.39, 12.10, -0.11, -0.10, 0.35
98903, 0.22, 0.23, 11.65, -0.01, 0.02, 0.01
99003, 0.35, -0.05, 11.68, -0.01, 0.02, 0.02
99103, 0.37, 0.01, 11.67, -0.01, 0.02, 0.02
99203, 0.37, 0.04, 11.66, -0.01, 0.02, 0.01
99303, 0.36, 0.07, 11.64, -0.01, 0.02, 0.02
99403, 0.34, 0.08, 11.66, -0.01, 0.02, 0.01
99696, 0.34, 0.06, 11.65, -0.01, 0.02, 0.02
99976, 0.59, 0.23, 11.48, -0.23, 0.08, 0.10
100457, -7.58, 1.34, 18.67, 0.41, -0.18, -1.20
100713, 0.43, 0.21, 11.66, -0.01, 0.02, 0.01
100812, -0.86, -1.82, 10.77, 0.09, -0.12, 0.01
102215, -0.15, -6.76, 12.66, -0.06, -0.03, -0.01
102314, -0.59, -1.16, 11.46, 0.08, -0.04, 0.08
102414, 0.06, 0.40, 11.55, -0.00, 0.05, 0.04
102514, 0.96, 1.37, 11.96, 0.00, 0.04, 0.03
102614, 0.16, 0.86, 11.70, -0.01, 0.01, -0.00
102714, 0.32, 0.25, 11.68, -0.01, 0.02, 0.01
102814, 0.33, 0.10, 11.67, -0.01, 0.02, 0.02
102914, 0.36, 0.10, 11.65, -0.01, 0.02, 0.01
103014, 0.34, 0.14, 11.69, -0.01, 0.02, 0.02
103114, 0.33, 0.13, 11.65, -0.01, 0.02, 0.02
103214, 0.30, 0.14, 11.67, -0.01, 0.02, 0.02
103314, 0.32, 0.14, 11.64, -0.01, 0.02, 0.01
105652, 0.34, 0.12, 11.66, -0.01, 0.02, 0.02
105754, -3.35, 2.60, 12.25, 0.10, -0.66, 0.14
106881, 4.71, -2.75, 16.22, 0.32, 0.62, -0.21
106980, -1.24, 1.02, 13.33, 0.29, -0.36, -0.09
107080, -0.79, 0.39, 13.89, -0.15, 0.24, 0.06
107379, 0.29, -0.22, 11.72, -0.01, 0.02, 0.01
107478, 1.60, -2.70, 11.56, -0.01, 0.11, 0.10
107578, 1.24, 1.77, 11.16, -0.03, 0.26, 0.12
107678, 1.32, -2.11, 11.22, -0.00, -0.04, 0.13
107778, -1.15, 0.14, 11.70, -0.04, -0.01, 0.06
108719, 8.29, -6.97, 6.17, 0.34, -0.40, 1.52
108967, 0.06, 1.56, 11.61, -0.02, 0.03, 0.05
109294, 0.32, 0.11, 11.66, -0.01, 0.02, 0.02
109533, 0.71, -2.58, 12.19, -0.27, -0.05, 0.09
109632, -0.30, 3.79, 10.95, -0.19, 0.11, 0.12
109732, 1.30, 1.92, 9.92, 0.01, -0.03, 0.03
109832, 0.09, 0.68, 11.63, -0.02, 0.03, 0.01
109932, 0.55, 0.38, 11.95, 0.00, 0.02, -0.02
110032, 0.28, 0.19, 11.65, -0.01, 0.02, 0.01
110508, 1.99, -1.28, 11.33, 0.14, 0.02, 0.06
110607, 1.63, 0.55, 9.74, 0.05, -0.04, 0.10
110708, -1.73, -0.34, 11.44, -0.05, -0.02, 0.10
110807, 0.51, 0.89, 11.08, -0.01, 0.05, 0.03
110907, -0.02, 0.37, 11.92, 0.01, 0.02, 0.02
111007, 0.22, 0.20, 11.69, -0.01, 0.02, 0.02
111107, 0.27, 0.12, 11.68, -0.01, 0.02, 0.01
111207, 0.27, 0.11, 11.65, -0.01, 0.02, 0.02
111307, 0.25, 0.12, 11.69, -0.01, 0.02, 0.02
111407, 0.23, 0.12, 11.65, -0.01, 0.02, 0.02
111507, 0.26, 0.11, 11.65, -0.01, 0.02, 0.02
111607, 0.26, 0.12, 11.68, -0.01, 0.02, 0.02
111707, 0.28, 0.15, 11.66, -0.01, 0.02, 0.01
111807, 0.28, 0.13, 11.67, -0.01, 0.02, 0.02
111907, 0.24, 0.14, 11.65, -0.01, 0.02, 0.02
112190, 0.27, 0.13, 11.66, -0.01, 0.02, 0.02
112289, 0.31, -1.68, 11.65, -0.19, -0.02, 0.08
112389, -1.41, 3.32, 13.45, -0.22, -0.04, 0.13
112489, -0.14, -4.23, 10.70, -0.05, -0.04, 0.09
112589, 21.80, 18.57, 14.94, -0.39, 0.73, 0.08
112689, -1.61, -4.39, 10.51, 0.01, -0.04, 0.13
112933, -3.75, 0.59, 16.93, 0.28, 0.04, 0.12
113037, -1.16, 5.84, 10.17, -1.31, -0.09, 0.09
113700, 0.54, 0.79, 10.86, 0.02, 0.12, 0.12
113799, 2.59, -1.47, 10.70, -0.17, 0.19, 0.09
114106, -1.72, 0.05, 12.42, -0.06, 0.09, 0.14
114205, -4.11, 0.35, 14.59, -0.02, -0.10, 0.15
114305, 1.60, 1.23, 11.84, 0.04, 0.05, 0.08
114572, 0.09, 0.71, 11.92, -0.00, 0.02, 0.02
114821, 1.78, 0.50, 7.97, -0.07, -0.03, 1.60
115086, 0.26, 0.05, 11.63, -0.01, 0.02, 0.01
115186, -0.15, -2.96, 11.74, 0.07, -0.02, 0.06
115286, -1.96, -3.12, 13.46, -0.22, 0.12, 0.09
115774, -3.59, 7.52, 13.06, -0.30, 0.13, 1.26
116021, 0.33, 0.47, 11.77, -0.01, 0.01, 0.00
116494, 0.28, 0.09, 11.65, -0.01, 0.02, 0.02
116498, -1.82, -1.47, 13.89, 0.06, -0.21, 1.70
116597, -3.24, 1.05, 13.21, -0.06, 0.05, -0.02
116697, 0.34, -0.01, 11.57, -0.01, 0.02, 0.02
116942, 0.23, 0.04, 11.67, -0.01, 0.02, 0.02
117183, -0.52, 5.70, 15.25, 0.44, 0.09, 1.52
117282, 1.44, 1.71, 10.38, 0.08, -0.01, -0.01
117528, 0.27, 0.10, 11.66, -0.01, 0.02, 0.02
117627, -1.04, -2.15, 13.45, -0.11, -0.12, 0.07
117727, -1.87, 1.36, 12.03, -0.02, 0.10, 0.06
117827, -1.34, -2.76, 13.55, -0.06, 0.06, 0.14
117927, 2.20, -0.04, 11.00, 0.02, 0.10, 0.14
118027, -1.66, 1.30, 13.37, 0.06, 0.01, 0.11
118127, -3.12, -0.05, 13.13, 0.09, -0.05, 0.10
118227, 1.25, 2.95, 13.27, -0.01, -0.04, 0.16
118327, 0.17, -2.58, 8.98, 0.04, 0.02, 0.16
118579, -6.63, -9.30, 19.45, 0.04, -0.05, 0.13
118678, 4.88, 0.25, 13.04, 0.37, 0.69, -0.10
118778, 0.43, 2.29, 10.91, 0.04, 0.08, 0.14
118878, 1.22, 2.32, 12.07, -0.22, -0.16, 0.15
118978, -0.50, 0.23, 12.49, -0.05, -0.03, 0.07
119261, 0.27, -0.10, 11.65, -0.01, 0.02, 0.02
119359, 0.71, -3.02, 12.13, 0.09, 0.07, 0.04
119654, -0.32, -0.14, 10.81, -0.09, -0.07, 0.11
119753, -0.99, 5.89, 13.28, -0.09, 0.11, 0.12
119853, 2.07, 3.07, 10.62, -0.04, 0.08, 0.02
119953, -0.22, 1.14, 11.22, 0.02, 0.12, 0.06
120511, 5.51, 1.45, 9.94, 0.18, 0.12, 0.10
120610, 1.05, -0.85, 11.00, 0.16, -0.17, 0.19
120710, -1.10, 0.94, 13.54, -0.01, -0.02, 0.16
120810, 0.20, 0.92, 11.90, -0.01, 0.03, 0.01
120910, -0.02, 1.15, 12.02, 0.00, 0.02, 0.03
121010, 0.30, 0.23, 11.67, -0.01, 0.02, 0.02
121110, 0.32, 0.14, 11.65, -0.01, 0.02, 0.02
121210, 0.33, 0.14, 11.65, -0.01, 0.02, 0.02
121310, 0.30, 0.11, 11.65, -0.01, 0.02, 0.02
121410, 0.31, 0.12, 11.64, -0.01, 0.02, 0.02
